tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
12100.0,2017,1,6.0,0,0,0,0.0,12100.0,3217.0,2017.0,012100,9480608.69018,12100.0,3.217,0.33932420429208976,0.0,0.8422459893048129,mid_density
12100.0,2018,1,6.0,0,0,0,0.0,12100.0,3134.0,2018.0,012100,9480608.69018,12100.0,3.134,0.33056949215151055,0.0,0.8521772345301757,mid_density
12100.0,2020,3,6.0,0,1,0,1.0986122886681098,12100.0,3257.0,2020.0,012100,9480608.69018,12100.0,3.257,0.34354334267309183,0.34354334267309183,0.8372803666921314,mid_density
12201.0,2016,1,4.0,0,0,0,0.0,12201.0,3077.0,2016.0,012201,3880478.72315,12201.0,3.077,0.7929434019682572,0.0,0.3919022154316272,low_density
12201.0,2017,3,4.0,0,0,0,1.0986122886681098,12201.0,3114.0,2017.0,012201,3880478.72315,12201.0,3.114,0.8024783080042747,0.0,0.38235294117647056,low_density
12201.0,2018,2,4.0,0,0,0,0.6931471805599453,12201.0,3030.0,2018.0,012201,3880478.72315,12201.0,3.03,0.7808314943008838,0.0,0.39992360580595876,low_density
12201.0,2020,1,4.0,0,1,0,0.0,12201.0,2765.0,2020.0,012201,3880478.72315,12201.0,2.765,0.7125409510699484,0.7125409510699484,0.45760122230710465,low_density
12201.0,2021,2,4.0,0,1,0,0.6931471805599453,12201.0,2776.0,2021.0,012201,3880478.72315,12201.0,2.776,0.71537565286444,0.71537565286444,0.45569136745607336,low_density
12203.0,2014,1,6.0,0,0,0,0.0,12203.0,1070.0,2014.0,012203,2412016.83996,12203.0,1.07,0.44361215986275804,0.0,0.7513368983957219,mid_density
12203.0,2016,1,6.0,0,0,0,0.0,12203.0,643.0,2016.0,012203,2412016.83996,12203.0,0.643,0.26658188672126487,0.0,0.8934300993124522,mid_density
12203.0,2017,1,6.0,0,0,0,0.0,12203.0,469.0,2017.0,012203,2412016.83996,12203.0,0.469,0.19444308689311543,0.0,0.9396485867074102,low_density
12203.0,2018,4,6.0,0,0,0,1.3862943611198906,12203.0,409.0,2018.0,012203,2412016.83996,12203.0,0.409,0.16956763867651217,0.0,0.9503437738731857,low_density
12203.0,2019,1,6.0,0,1,0,0.0,12203.0,633.0,2019.0,012203,2412016.83996,12203.0,0.633,0.26243597868516433,0.26243597868516433,0.8976317799847212,mid_density
12204.0,2013,2,7.0,0,0,0,0.6931471805599453,12204.0,2944.0,2013.0,012204,10009300.9052,12204.0,2.944,0.29412643579038994,0.0,0.8739495798319328,mid_density
12204.0,2014,1,7.0,0,0,0,0.0,12204.0,3291.0,2014.0,012204,10009300.9052,12204.0,3.291,0.32879419163932516,0.0,0.8537051184110007,mid_density
